time,price,quantity,direction
2026-07-13T18:56:31.602870+00:00,94.25,1,1
2026-07-13T18:56:31.606935+00:00,94.26,14,1
2026-07-13T18:56:32.506103+00:00,94.24,60,2
2026-07-13T18:56:33.180701+00:00,94.23,1,2
2026-07-13T18:56:44.545800+00:00,94.26,1,1
2026-07-13T18:56:45.570144+00:00,94.24,10,2
2026-07-13T18:56:50.506737+00:00,94.24,10,2
2026-07-13T18:57:06.603983+00:00,94.3,3,1
2026-07-13T18:57:11.678193+00:00,94.3,1,1
2026-07-13T18:57:12.193963+00:00,94.3,2,1
2026-07-13T18:57:24.332046+00:00,94.29,32,2
2026-07-13T18:57:33.982047+00:00,94.28,10,2
2026-07-13T18:57:40.097947+00:00,94.28,10,2
2026-07-13T18:57:47.228341+00:00,94.28,22,2
2026-07-13T18:57:52.783079+00:00,94.28,5,1
2026-07-13T18:57:55.590794+00:00,94.27,52,2
2026-07-13T18:57:55.596480+00:00,94.27,98,2
2026-07-13T18:57:56.486056+00:00,94.28,189,1
2026-07-13T18:57:56.493147+00:00,94.29,28,1
2026-07-13T18:57:56.493850+00:00,94.31,32,1
2026-07-13T18:57:56.494365+00:00,94.31,2,1
2026-07-13T18:58:05.550527+00:00,94.29,2,2
2026-07-13T18:58:11.334230+00:00,94.29,48,2
2026-07-13T18:58:11.334615+00:00,94.29,32,2
2026-07-13T18:58:11.337125+00:00,94.28,120,2
2026-07-13T18:58:11.600848+00:00,94.28,1,2
2026-07-13T18:58:11.648600+00:00,94.3,21,1
2026-07-13T18:58:15.423349+00:00,94.31,5,1
2026-07-13T18:58:23.406921+00:00,94.3,1,1
2026-07-13T18:58:24.294161+00:00,94.31,1,1
2026-07-13T18:58:44.779121+00:00,94.31,3,1
2026-07-13T18:58:58.586471+00:00,94.3,32,1
2026-07-13T18:58:58.591464+00:00,94.3,18,1
2026-07-13T18:59:01.389779+00:00,94.3,20,1
2026-07-13T18:59:07.549431+00:00,94.31,1,1
2026-07-13T18:59:17.177018+00:00,94.32,1,1
2026-07-13T18:59:25.372796+00:00,94.32,50,1
2026-07-13T18:59:35.997829+00:00,94.32,9,2
2026-07-13T18:59:48.701629+00:00,94.31,1,2
2026-07-13T18:59:48.911526+00:00,94.33,50,1
2026-07-13T18:59:48.917198+00:00,94.33,85,1
2026-07-13T18:59:48.917790+00:00,94.34,9,1
2026-07-13T18:59:48.918321+00:00,94.34,25,1
2026-07-13T18:59:48.918706+00:00,94.34,32,1
2026-07-13T18:59:48.919177+00:00,94.35,3,1
2026-07-13T18:59:48.919579+00:00,94.35,29,1
2026-07-13T18:59:57.659331+00:00,94.36,20,1
2026-07-13T18:59:57.659789+00:00,94.37,1,1
2026-07-13T18:59:57.662733+00:00,94.37,70,1
2026-07-13T18:59:57.663247+00:00,94.38,5,1
2026-07-13T18:59:57.663652+00:00,94.38,125,1
2026-07-13T18:59:57.664081+00:00,94.38,70,1
2026-07-13T18:59:57.664450+00:00,94.38,9,1
2026-07-13T18:59:57.960844+00:00,94.35,1,2
2026-07-13T18:59:58.465872+00:00,94.35,137,2
2026-07-13T18:59:59.092700+00:00,94.35,1,2
2026-07-13T19:00:05.306732+00:00,94.37,15,1
2026-07-13T19:00:09.424367+00:00,94.37,1,1
2026-07-13T19:00:10.133467+00:00,94.37,10,1
2026-07-13T19:00:13.350788+00:00,94.36,1,2
2026-07-13T19:00:13.559732+00:00,94.37,3,1
2026-07-13T19:00:17.658496+00:00,94.37,111,1
2026-07-13T19:00:17.664596+00:00,94.37,122,1
2026-07-13T19:00:17.665317+00:00,94.37,219,1
2026-07-13T19:00:17.665697+00:00,94.37,52,1
2026-07-13T19:00:17.666125+00:00,94.38,25,1
2026-07-13T19:00:17.666645+00:00,94.38,70,1
2026-07-13T19:00:17.667253+00:00,94.38,52,1
2026-07-13T19:00:17.667704+00:00,94.38,32,1
2026-07-13T19:00:17.668089+00:00,94.39,52,1
2026-07-13T19:00:17.668865+00:00,94.39,70,1
2026-07-13T19:00:17.669284+00:00,94.39,25,1
2026-07-13T19:00:17.669635+00:00,94.39,125,1
2026-07-13T19:00:17.670057+00:00,94.39,45,1
2026-07-13T19:00:30.367546+00:00,94.38,1,1
2026-07-13T19:00:44.843803+00:00,94.36,1,2
2026-07-13T19:00:44.844701+00:00,94.36,1,2
2026-07-13T19:01:12.053419+00:00,94.39,83,1
2026-07-13T19:01:12.054757+00:00,94.39,10,1
2026-07-13T19:01:13.919995+00:00,94.39,1,1
2026-07-13T19:01:14.306700+00:00,94.39,20,1
2026-07-13T19:01:14.465870+00:00,94.36,45,2
2026-07-13T19:01:15.658511+00:00,94.38,2,2
2026-07-13T19:01:23.835966+00:00,94.39,218,1
2026-07-13T19:01:23.840288+00:00,94.39,23,1
2026-07-13T19:01:23.840827+00:00,94.4,5,1
